campaign_id,channel,ROAS,LCR,repeat_rate,avg_customer_ltv,deceptive_efficiency,Group_Label
MKT2010,paid search,0.9327040030792918,0.2805755395683453,0.3381294964028777,69.73136690647482,False,High Efficiency
MKT2013,paid social,0.6668170770368805,0.3584905660377358,0.29559748427672955,79.87455696202532,True,High Efficiency
MKT2006,paid social,0.5957164354880922,0.34328358208955223,0.30597014925373134,67.94723880597014,True,High Efficiency
MKT2014,paid search,0.5647586615339059,0.39849624060150374,0.37593984962406013,72.24204545454545,False,High Efficiency
MKT2015,paid search,0.4710558710068917,0.4473684210526316,0.3223684210526316,71.97172185430463,False,High Efficiency
MKT2035,paid search,0.3976159533945776,0.34108527131782945,0.3798449612403101,69.86456692913386,False,High Efficiency
MKT2031,paid social,0.3700481262327416,0.4014084507042254,0.30985915492957744,66.52992907801418,True,High Efficiency
MKT2022,email,0.3563314932901875,0.35714285714285715,0.2785714285714286,53.48535714285714,True,High Efficiency
MKT2032,search,0.33931633995982546,0.3381294964028777,0.26618705035971224,70.48503597122303,True,High Efficiency
MKT2000,paid social,0.30435110242813285,0.2948717948717949,0.27564102564102566,48.93224358974359,True,High Efficiency
MKT2027,paid search,0.2367002819863308,0.44285714285714284,0.34285714285714286,71.25870503597122,False,High Efficiency
MKT2007,influencer,0.2355859536758413,0.2248062015503876,0.3178294573643411,66.668984375,False,High Efficiency
MKT2019,paid social,0.20008384562540732,0.373134328358209,0.3283582089552239,86.05272727272727,False,High Efficiency
MKT2017,paid social,0.19377791464221353,0.30708661417322836,0.25984251968503935,67.96023999999998,True,High Efficiency
MKT2033,display,0.19078753923789088,0.3082191780821918,0.3424657534246575,98.66198630136986,False,High Efficiency
MKT2023,email,0.18905153889384774,0.3836477987421384,0.3018867924528302,73.31564102564103,True,High Efficiency
MKT2028,search,0.18861272816970895,0.39864864864864863,0.3716216216216216,79.10027586206895,False,High Efficiency
MKT2012,affiliate,0.18337210513523836,0.41916167664670656,0.3473053892215569,63.24910179640719,False,High Efficiency
MKT2025,paid social,0.16610435971441592,0.2945205479452055,0.3287671232876712,74.89486301369863,False,High Efficiency
MKT2030,display,0.15580855564696205,0.34507042253521125,0.323943661971831,75.75857142857143,False,High Efficiency
MKT2034,paid social,0.15396470391034697,0.35664335664335667,0.3076923076923077,90.55943661971831,False,High Efficiency
MKT2004,affiliate,0.1470369781817604,0.2676056338028169,0.3380281690140845,66.09207142857143,False,High Efficiency
MKT2002,paid search,0.1467248046294043,0.41721854304635764,0.2980132450331126,72.34706666666666,False,High Efficiency
MKT2016,email,0.14142633141065128,0.41025641025641024,0.3141025641025641,80.94391025641026,False,High Efficiency
MKT2029,search,0.13540013961064143,0.41911764705882354,0.33088235294117646,64.18066176470587,False,High Efficiency
MKT2001,paid search,0.135214961732709,0.3643410852713178,0.3023255813953488,74.09255813953489,False,High Efficiency
MKT2009,influencer,0.13495678652993595,0.345679012345679,0.25308641975308643,56.50725,False,High Efficiency
MKT2011,email,0.12294597924847703,0.416,0.344,85.41008000000001,False,High Efficiency
MKT2018,paid social,0.1034297747879497,0.36363636363636365,0.2727272727272727,66.97469696969696,False,High Efficiency
MKT2003,email,0.09506548655087706,0.3708609271523179,0.2913907284768212,51.34106666666666,False,High Efficiency
MKT2024,influencer,0.09482615117696709,0.36585365853658536,0.2601626016260163,66.85165289256199,False,High Efficiency
MKT2021,affiliate,0.009364769364769364,0.34814814814814815,0.34814814814814815,70.94515151515152,False,Volume Drivers
MKT2026,paid search,0.0,0.4069767441860465,0.25,50.8493023255814,False,High Efficiency
MKT2020,email,0.0,0.4794520547945205,0.3219178082191781,51.032260273972604,False,High Efficiency
MKT2005,paid social,0.0,0.3383458646616541,0.2932330827067669,71.36015267175573,False,High Efficiency
MKT2008,paid social,0.0,0.37037037037037035,0.37037037037037035,58.2933950617284,False,High Efficiency
